Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Provided,Salary,Min Salary,Max Salary,Avg Salary,Location State,Company,Company Age,Python,R Studio,AWS,ML,Tableau,SQL,Excel,Spark,Apache,API
Data Analyst - Remote Option,$120K - $145K (Employer est.),"Acima Credit (Acima) based in Draper, Utah is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands of retailers nationwide. Customers love us because we make the impossible possible. Retailers love us because we make it easy for them.

Acima is growing at a tremendous rate. Recognized as one of the fastest growing companies, (by the Mountain West Capital Network and the Utah Business Magazine) we need awesome people to continue to propel that growth. Here you'll find a place where you can learn, progress and grow professionally. You'll be challenged to think creatively, work hard and make smart decisions.",4.1,"Acima Credit
4.1","Draper, UT",501 to 1000 Employees,2013,Company - Private,Lending,Finance,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,UT,acima credit,8,0,0,0,0,0,0,0,0,0,1
Data Analyst,$120K - $145K (Employer est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description
Prepare data for system upload
Working within and developing pricing system upload
Participate in company goals and expectations
Look for efficiency's, improvements and new ways of operations to improve overall results",3.4,"Michael Page
3.4","New York, NY",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,NY,michael page,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst Supporting the USAO,$120K - $145K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA Federal, a rapidly growing joint venture owned by trusted solutions providers SAIC and Amentum, has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the United States Attorney's Office (USAO).

A Data Analyst performs, but is not limited to the following duties:

Provide organization and management of case files
Review data (completeness of information, proper execution)

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Mobile, AL",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,120 - 145 ,120,145,132.5,AL,fsa federal,17,0,0,0,0,0,0,0,0,0,1
"Online Data Analyst - Tennessee, USA",$120K - $145K (Employer est.),"Company Info:
We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more.
Position Open:
The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.",3.8,"TELUS International AI Inc.
3.8","Nashville, TN",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,TN,telus international ai ,-1,0,0,0,1,0,0,0,0,0,0
Data Analyst Supporting the FBI,$120K - $145K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

EnProVera, owned and operated by government veterans with extensive backgrounds in Homeland Security, Law Enforcement, the Military, and the Intelligence Community, has a vacancy for a Data Analyst supporting the Federal Bureau of Investigation (FBI).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Applicants with an Active TS Clearance preferred

Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

The mission of the Federal Bureau of Investigation (FBI) is to protect the American people and uphold the Constitution of the United States. FBI investigates a broad range of criminal violations, integrating the use of asset forfeiture into its overall strategy to eliminate targeted criminal enterprises. The FBI has successfully used asset forfeiture in White Collar Crime, Organized Crime, Drug, Violent Crime and Terrorism investigations.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Washington, DC",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,120 - 145 ,120,145,132.5,DC,fsa federal,17,0,0,0,0,0,0,0,0,0,0
Data Support Analyst,$120K - $145K (Employer est.),"Sanametrix, Inc. is a fast-growing small business headquartered in the Washington DC area focused on providing custom IT solutions for our clients. We are looking for a Data Support Analyst to join our Sanametrix team. The Partner Support Center (PSC) is the first level of support and response for our clients. The Analyst will troubleshoot and resolve advanced application and content related issues for a national web-based survey collection.
The incumbent will work closely with fellow support center team members, managers, and software engineers to resolve issues reported by end users. The Analyst will research and develop solutions to unresolved issues and provide troubleshooting and expertise to assist with customer ticket management and resolution.
This a full time position with benefits including medical, dental & PTO. The contract is started on November 1, 2021 and will end March 31, 2022. This position will be done remotely with training.",3.1,"Sanametrix
3.1","Washington, DC",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),0,0,120 - 145 ,120,145,132.5,DC,sanametrix,-1,0,0,0,0,0,0,0,0,0,0
Fraud Data Analyst - San Diego,$120K - $145K (Employer est.),"Summary
Posted: Oct 13, 2021
Role Number: 200291040
Apple is a place where extraordinary people gather to do their best work. Together we craft products and experiences people once couldn’t have imagined — and now can’t imagine living without. If you’re drawn by the idea of making a real impact, and joining a team where we pride ourselves in being one of the most diverse and inclusive companies in the world, a career with Apple might be your dream job! A Fraud Analytics Lead plays a meaningful role in collaborating with engineering and data scientists to design, instrument, maintain, build or improve business-critical datasets from a multitude of sources. They also have a deep background in fraud prevention, and will have experience in one of many different verticals: digital e-commerce, fraud detection and prevention, and loss forecasting. It’s a hands-on, multi-functional, highly-engaged job. This role is key to the success of the team and products. That vision always includes a deep dedication to strengthening Apple’s privacy policy, one of Apple’s core values.",4.3,"Apple
4.3","San Diego, CA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,120 - 145 ,120,145,132.5,CA,apple,45,0,0,0,0,0,0,0,0,0,0
Data Analyst Supporting the FBI DNA Lab,$120K - $145K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

EnProVera, owned and operated by government veterans with extensive backgrounds in Homeland Security, Law Enforcement, the Military, and the Intelligence Community has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the Federal Bureau of Investigation (FBI).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

Created in 1932, the FBI Laboratory is today one of the largest and most comprehensive crime labs in the world. Operating out of a state-of-the-art facility in Quantico, Virginia, the Lab's scientific experts and special agents travel the world on assignment, using science and technology to protect the nation and support law enforcement, intelligence, military, and forensic science partners.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Quantico, VA",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,120 - 145 ,120,145,132.5,VA,fsa federal,17,0,0,0,0,0,0,0,0,0,0
Data Analyst,$120K - $145K (Employer est.),"Our Customer’s mission is to create groundbreaking sport innovations, by making their products more sustainable, building a creative and diverse global team, and making a positive impact in communities where we live and work. Their purpose is to bring inspiration and innovation to unite the world through sport to create a healthy planet, active communities, and an equal playing field for all.
We are seeking an innovative and highly motivated Data Analyst on a contract basis to join our effort to be a premier online destination for all things in our company.

What you’ll do:
Generates reports and regular datasets or report information for end-users using system tools and database or data warehouse queries and scripts.

Integrates data from multiple sources to produce requested or required data elements.

Programs and maintains report forms and formats, information dashboards, data generators, canned reports, and other end-user information portals or resources.

May create specifications for reports based on business requests.


Experience in Data Administration

Excellent organizational skills

Experience in Admin support

Experience in Corporate communication

Experience in Data Analysis


Bachelor's degree preferred


M-F, 40 hours/week. This role will be remote while COVID restrictions are in place. The expectation is to be onsite at our Customer’s Beaverton, OR location once it is deemed safe to do so.
Perks are available through our 3rd Party Employer of Record
Medical, Dental, Vision, Life (including spouse & child), 401k, STD/LTD, AD&D, andCommuter Benefits program.
In order to create a safe, productive work environment, our client is requiring all contractors to be fully vaccinated according to the CDC guidelines (please inform your employer if you need a medical or religious exemption). Prior to onboarding, contractors will be required to attest that they are fully vaccinated. The expected Return to Office date is January 2022",4.8,"The Mom Project
4.8","Beaverton, OR",51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,OR,the mom project,5,0,0,0,0,0,0,1,0,0,0
Data Analyst,$120K - $145K (Employer est.),"About us
Flywheel Software
Flywheel Software is a high-growth technology startup building an audience platform that is changing the way businesses acquire, retain, and win-back their customers. Clients include Google, Indeed, and the Boston Red Sox. We apply best-in-class architecture and technology to build a system that is both functional and beautiful. We are a collaborative team that strongly believes in taking the learner's mindset to everything we do. To learn more about our company, go to www.flywheelsoftware.com.
About the Position
We are looking for an outstanding Associate Data Science Engineer that wants to learn how to combine the best of strategy and machine learning to product outsized business impact. This role will have the opportunity to learn how to apply machine learning / artificial intelligence models to some of the most important problems businesses face.",-1.0,Flywheel Software,"New York, NY",-1,-1,-1,-1,-1,-1,0,0,120 - 145 ,120,145,132.5,NY,flywheel software,-1,0,0,0,1,0,0,0,0,0,0
Geospatial Data Analyst,$120K - $145K (Employer est.),"Job Title:
Geospatial Data Architect
Type:
Direct Hire
Location:
Remote - Allentown, PA
This role is for a Geospatial Data Architect.
Requirements",-1.0,The Burchell Group,Remote,-1,-1,-1,-1,-1,-1,0,0,120 - 145 ,120,145,132.5,Remote,the burchell group,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst (SQL required),$120K - $145K (Employer est.),"Google, Sunnyvale, CA - via Webhelp
About The Job
Are you interested in being part of a highly dynamic and successful team, supporting one of the fastest growing organizations within Google? We are looking for motivated and talented individuals to join our Google Cloud Data Analysis Team.
Responsibilities
Make weekly forecasts and generate quarterly performance metrics for business reviews
Maintain a strong focus on managing projects and programs on both an on-going and an ad-hoc basis, while working collaboratively across the global organization",3.3,"Webhelp Americas
3.3","Sunnyvale, CA",10000+ Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),0,0,120 - 145 ,120,145,132.5,CA,webhelp americas,21,0,0,0,0,0,0,0,0,0,0
Data Analyst supporting the DEA,$120K - $145K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Advance Employee Intelligence (AEI) strives to help government agencies develop a solid foundation and business strategy so they can be successful. Providing our Nation's Leading Organizations with Mission Critical Superior Service. AEI a HUBZone employer has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the Drug Enforcement Administration (DEA).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Candidates currently living in a HUBZone strongly preferred. Click here to check whether your address qualifies.

Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation


The Drug Enforcement Administration (DEA) is responsible for conducting national and international investigations targeting global drug trafficking networks and drug-related terrorism involved in the illegal growing, manufacturing, or distribution of controlled substances appearing in or destined for illicit traffic in the United States. A component of DEA's strategic mission is the use of the Asset Forfeiture Program, implementing major investigative strategies against drug networks and cartels, resulting in significant seizure and forfeiture activities.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Gainesville, FL",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,120 - 145 ,120,145,132.5,FL,fsa federal,17,0,0,0,0,0,0,0,0,0,0
"Market Data Insights Analyst, US/Canada - Apple Music",$120K - $145K (Employer est.),"Summary
Posted: Oct 6, 2021
Weekly Hours: 40
Role Number:200282556
Do you love music? Movies? Are you passionate about analyzing data? We do! As part of the Evaluation & A/B team, you will be a market expert for our Apple Music and Apple TV service. We represent the user’s perspective as they vet new features being introduced to Apple Music and Apple TV. Our day-to-day responsibilities will include reviewing data, analyzing data, and creating innovative ideas to help improve Apple search features, and reporting systematic issues to statisticians and engineers. We are looking for someone who is just as passionate about movies and tv as we are! This individual must have Native or fluency in a regional language: French (Canadian) or Spanish.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,120 - 145 ,120,145,132.5,WA,apple,45,0,0,0,0,0,0,0,0,0,0
"Reporting and Data Analyst (SQL, Tableau, Excel) - FULLY REMOTE - PST hours",$120K - $145K (Employer est.),"Req # 2345
iTalent Digital is seeking a Reporting and Data Analyst, to join our Retail Practice Group. This is an exciting role for the right individual to continue to cultivate your skills and domain expertise.
The individual selected will be instrumental in helping us continue to deliver excellence to our base of marquee retail accounts. You will be joining a family of other SMEs who have also specialized within the retail sector.
You will also interact closely with our iTalent Retail Practice Directors, who will work with you to ensure success.
Job Description:",4.8,"iTalent Digital
4.8",Remote,201 to 500 Employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,Remote,italent digital,16,0,0,0,0,0,0,1,0,0,0
Data Analyst (Legal support) Supporting the US Attorney's Office,$120K - $145K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA Federal, a rapidly growing joint venture owned by trusted solutions providers SAIC and Amentum, has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the United States Attorney's Office (USAO).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

The United States Attorney's Office (USAO) serves as the nation's principal litigators under the direction of the Attorney General.The Asset Forfeiture Section at the USAO is responsible for the prosecution of both criminal and civil actions against property used or acquired during illegal activity.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","New York, NY",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,120 - 145 ,120,145,132.5,NY,fsa federal,17,0,0,0,0,0,0,0,0,0,1
"Data Analyst, Population Health",$120K - $145K (Employer est.),"Data Analyst, Population Health
HDAI is a well-funded, high-growth, and ambitious startup that is using artificial intelligence to provide clinical and operational guidance that supports population health and clinical decision-making. We are partnering with premier health systems to deploy actionable AI, with a particular focus on delivering insights that support population health initiatives.
We are looking for a statistically savvy, technically adept Data Analyst, Population Health to analyze de-identified healthcare claims for more than 100 million people, primarily in a SAS environment. The right candidate will work closely with our data science, product, and customer-facing teams to generate data sets derived from healthcare billing records that provide insights for clinical and operational leaders at leading organizations around the country.
Key responsibilities",-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1,-1,-1,-1,0,0,120 - 145 ,120,145,132.5,MA,health data analytics institute,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst,$120K - $145K (Employer est.),"About VGW
We are pioneers in online gaming, with talented people and innovative, patented technology. We own and operate several market-leading brands in the largest markets in the world and have about 800 team members globally, all committed to building something amazing, pushing our boundaries and having fun in the process. We’ve been disrupting online social casino and poker gaming since 2010 and bringing fun and excitement to millions of customers. At VGW, we have a modern approach to getting work done and a focus on creating an environment where amazing people can do amazing work. That means giving you the flexibility you need, providing spaces that will keep you comfortable and finding opportunities for you to keep learning and growing.
About the Role
The Data and Analytics team is responsible for leading the data-driven culture at VGW. We work alongside the business to provide analytics that improve and monitor our products to drive business growth. This is an exciting opportunity to combine both your insights and analytical skills with elements of data science and modeling to analyze payments and fraud data to better understand what is driving our position and how to improve it. Using your detailed domain and technical knowledge you will be required to help solve the right business problems, as well as building fast-fail proof-of-concept data products to test new ideas.",3.4,"VGW
3.4",Remote,501 to 1000 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,Remote,vgw,11,0,0,0,0,0,0,0,0,0,0
Data and Reporting Analyst,$120K - $145K (Employer est.),"We are currently hiring for a Data & Reporting Analyst, thisposition will be responsible for the analysis, development, and support of reporting for Louisville Water internal customers to provide insights to determine operational impact, trends, and opportunities. They will transform data into information that will be used by the business to aid in decisions and actions.
The position involves working closely with the business to determine reporting needs, acquiring data from multiple sources, developing and scheduling reports on a regular basis, correcting any code issues, and ensuring that reports remain error-free, accurate, and organized.
Louisville Water values Safety, Trust, Partnership, Quality, Diversity, Equality, and Inclusion We are looking for strongly skilled individuals that want to be part of passionate team that will make an impact. Someone that strives for excellence and quality of work.
Since 1860 Louisville Water provides quality water as well as competitive pay and a comprehensive benefit package, which includes:",3.6,"Louisville Water Company
3.6","Louisville, KY",201 to 500 Employees,1860,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),0,0,120 - 145 ,120,145,132.5,KY,louisville water company,161,0,0,0,0,0,0,1,0,0,0
Data Analyst,$120K - $145K (Employer est.),"Position: Data Analyst - Washington, DC or remote
Reports to: Senior Director of Data Services
Organization Description: The Voter Participation Center (VPC) is the nation’s largest non-partisan, non-profit organization dedicated to registering and mobilizing voters from the New American Majority (NAM) – people of color, unmarried women and young people – who make up the majority of the potential electorate but have been historically underrepresented in political participation and power. Using direct mail, digital and social media outreach, guided by rigorous data science and experimentation, and working closely with a multitude of partner organizations, VPC connects with millions of voters each year, building the foundation for a more representative democracy.
Over 18 years VPC has helped more than 5.7 million people register to vote. In 2020, as COVID-19 shut down most forms of in-person voter contact, VPC helped more than 4.6 million people apply to vote by mail & cast ballots, registered more than 1.6 million people, and assisted millions of voters in voting early and safely to reduce pressures on polling places on
Election Day.",-1.0,The Voter Participation Center / Center for Voter Information,"Washington, DC",-1,-1,-1,-1,-1,-1,0,0,120 - 145 ,120,145,132.5,DC,the voter participation center / center for voter information,-1,0,0,0,0,0,0,0,0,0,0
Network Data Analyst (Remote),$120K - $145K (Employer est.),"Take your career to the next level with eXcell. We offer jobs with Fortune 1000 companies nationwide AND invest in your career development using our leading-edge training program.

We have a new opportunity for a remote Network Data Analyst to join our team, working Monday through Friday. Candidate will be supporting teams who sit within the East Coast (EST) time zone.

Scope of Activity:
Analyst will VPN into switches and routers to run a script using an SOP and checklist to validate they are configured correctly
Analyzing and monitoring network performance
Configuring hardware and software to optimize network communication",4.0,"eXcell
4.0","Miami, FL",201 to 500 Employees,2001,Subsidiary or Business Segment,IT Services,Information Technology,$25 to $50 million (USD),0,0,120 - 145 ,120,145,132.5,FL,excell,20,0,0,0,0,0,0,1,0,0,0
Data Analyst - Medicaid,$120K - $145K (Employer est.),"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities








Colorado Salary Minimum: $54,558.40
Colorado Salary Maximum:$116,625.60

The estimate displayed represents the typical salary range for this position, and is just one component of Peraton's total compensation package for employees. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Peraton provides a variety of benefits to employees.",3.7,"Peraton
3.7","Chantilly, VA",10000+ Employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD),0,0,120 - 145 ,120,145,132.5,VA,peraton,4,0,0,0,0,0,0,0,0,0,0
Data Science Analyst -105419,$120K - $145K (Employer est.),"Data Science Analyst
Talent Management - Quality Excellence & Data Analytics
Job ID# 105419
Core Responsibilities
Learning & Inclusion is seeking a Data Science Analyst to support our advanced data analytics capabilities. This position will be responsible for partnering with team members to develop analytical business solutions, using a variety of data and visualization tools to build and implement predictive models, and presenting complex analysis in clear and understandable terms.",4.0,"Consolidated Edison Company of New York, Inc.
4.0","New York, NY",10000+ Employees,1997,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),0,0,120 - 145 ,120,145,132.5,NY,consolidated edison company of new york,24,0,0,0,0,0,0,1,0,0,0
Sales Operations Analyst (Open To Remote),$120K - $145K (Employer est.),"Your Job
The Sales Operations Analyst will support our fast-growing sales teams. They will be responsible for
learning the ins and outs of each major Indeed business unit, play a critical role in building relationships
with the senior leadership team, and drive forward initiatives that will help us accelerate sales revenue
and efficiency. The ideal candidate is someone who has a strong desire to identify problems and use data
to find actionable solutions. They are self motivated, organized, and can work comfortably in a fast paced
and ever changing environment.


preferred
etc.",4.3,"Indeed
4.3","Austin, TX",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,0,120 - 145 ,120,145,132.5,TX,indeed,17,0,0,0,0,0,0,0,0,0,0
"Visualization Analyst, Data & Analytics",$120K - $145K (Employer est.),"At Brookfield Properties, our success starts with our people. People like you.
We develop, operate, and manage more than 650 properties and 325 million square feet of real estate across the globe. It’s a feat that wouldn’t be possible without our team, a diverse group of creative visionaries and innovative experts who are relentless in pursuit of one goal: to ensure our buildings don’t simply meet the needs of our tenants, residents, and communities — but exceed them, every day.
Within our office business, this conviction guides every aspect of our work. Our signature structures not only define skylines but are also true destinations — bringing together office areas, retail spaces, and dining options all in one. And our high-end design capabilities and strong sustainability practices allow us to create properties that raise the bar for real estate everywhere. It’s why the world’s most respected businesses, non-profits, and start-ups choose us as their partner.",3.6,"Brookfield Properties
3.6","New York, NY",10000+ Employees,1920,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),0,0,120 - 145 ,120,145,132.5,NY,brookfield properties,101,0,0,0,0,0,0,0,0,0,0
Entry Level- power BI/MS SQL/BA /Drug Safety/CDM,$120K - $145K (Employer est.),"VForce Infotech - constantly looking for IT Contractors on our W2 who work with our clients.
We are offering Entry level to Mid sr. positons and Training related to
Business Analyst (BA) All Domain.
Data Visualization Expert - Tableau Developer, Power BI Developer
RPA - Robotic Process Automation - Automation Anywhere.
MSSQL Developer - SSIS,SSRS,T-SQL.
Front End Developer Angular.
Pharma Validation
Drug Safety",-1.0,VForce InfoTech,"Edison, NJ",-1,-1,-1,-1,-1,-1,0,0,120 - 145 ,120,145,132.5,NJ,vforce infotech,-1,0,0,0,0,1,1,0,0,0,0
Data Analyst,$120K - $145K (Employer est.),"Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among ’s lists of Best Workplaces—Small & Medium Businesses and Best Workplaces in Financial Services and Insurance.",4.8,"IntraFi Network
4.8","Arlington, VA",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,VA,intrafi network,19,0,0,0,0,0,0,0,0,0,0
Sales Operations Data Analyst,$120K - $145K (Employer est.),"Google, Sunnyvale, CA - via Webhelp
About The Job
Are you interested in being part of a highly dynamic and successful team, supporting one of the fastest growing organizations within Google? We are looking for motivated and talented individuals to join our Google Cloud Data Analysis Team.
Responsibilities
Use SQL to make weekly forecasts and generate quarter performance metrics for business reviews
Maintain a strong focus on managing projects and programs on both an on-going and an ad-hoc basis, while working collaboratively across the global organization
Execute data and root cause analyses to identify opportunities for improvement of our workflow processes and data infrastructure",3.3,"Webhelp Americas
3.3","Sunnyvale, CA",10000+ Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),0,0,120 - 145 ,120,145,132.5,CA,webhelp americas,21,0,0,0,0,0,1,0,0,0,0
"Junior, Data Analyst",$120K - $145K (Employer est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description

Data Analyst MUST be able to develop an in depth understanding of the internal data structure, for a wide-array of data sets such as securities, credit ratings, sector classifications, analytic, transactions, positions, etc. - all required to support a robust investment firm.

Email resume and a summary of your relevant experience to MadisonHaberl @ MichaelPage.US.com.",3.4,"Michael Page
3.4","New York, NY",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,NY,michael page,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst,$120K - $145K (Employer est.),"CITY OF NEW YORK
DEPARTMENT OF CORRECTION
JOB POSTING NOTICE
Civil Service Title: City Research Scientist Level: II
Title Code No: 21744
Salary: $75,504 - $86,830
Frequency: Annual
Business Title: Data Analyst
75-20 Astoria Blvd
East Elmhurst, NY 11370",2.6,"New York City Department of Correction
2.6","Queens Village, NY",Unknown,-1,Government,-1,-1,Unknown / Non-Applicable,0,0,120 - 145 ,120,145,132.5,NY,new york city department of correction,-1,0,0,0,0,0,0,0,0,0,0
